subject_id,person,illuminant,wb_cell,condition_code,include_in_eval,path_noflash,path_flash,path_face_landmarks,zip_path,zip_stem
Lihn_D65_A1,Lihn,D65,A,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/LinhD65-A1Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/LinhD65-A1Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/LinhD65-A1Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Lihn P1/D65/LinhD65-A1Torch.zip,LinhD65-A1Torch
Lihn_D65_A2,Lihn,D65,A,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/LinhD65-A2Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/LinhD65-A2Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/LinhD65-A2Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Lihn P1/D65/LinhD65-A2Torch.zip,LinhD65-A2Torch
Lihn_D65_A3,Lihn,D65,A,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/LinhD65-A3Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/LinhD65-A3Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/LinhD65-A3Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Lihn P1/D65/LinhD65-A3Torch.zip,LinhD65-A3Torch
Lihn_D65_B2,Lihn,D65,B,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/LinhD65-B2torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/LinhD65-B2torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/LinhD65-B2torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Lihn P1/D65/LinhD65-B2torch.zip,LinhD65-B2torch
Lihn_D65_B4,Lihn,D65,B,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/LinhD65-B4Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/LinhD65-B4Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/LinhD65-B4Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Lihn P1/D65/LinhD65-B4Torch.zip,LinhD65-B4Torch
Lihn_D65_D2,Lihn,D65,D,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Linh—D65-D2Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Linh—D65-D2Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Linh—D65-D2Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Lihn P1/D65/Linh—D65-D2Torch.zip,Linh—D65-D2Torch
Parker_D65_A1,Parker,D65,A,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-A1Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-A1Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-A1Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Parker P2/D65/Parker-D65-A1Torch.zip,Parker-D65-A1Torch
Parker_D65_A3,Parker,D65,A,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-A3Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-A3Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-A3Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Parker P2/D65/Parker-D65-A3Torch.zip,Parker-D65-A3Torch
Parker_D65_B1,Parker,D65,B,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-B1Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-B1Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-B1Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Parker P2/D65/Parker-D65-B1Torch.zip,Parker-D65-B1Torch
Parker_D65_B2,Parker,D65,B,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-B2Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-B2Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-B2Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Parker P2/D65/Parker-D65-B2Torch.zip,Parker-D65-B2Torch
